id_sacado_sac,st_nome_sac,planos[0][plano],planos[0][notificar_cliente],planos[0][não_notificar_primeiro_pagamento],opcionais[0][produto],opcionais[0][qtd],opcionais[0][valor],contratação
92,Instituto Projeto Educa�ÃO (Obj Saude),1,0,1,999999982,1,"447,26",18/06/15
183,Integra (Maplebear Jundia�),1,0,1,999999982,1,"290,00",09/05/16
128,Integrado,1,0,1,999999982,1,"0,00",15/09/16
115,Integrado De Araras,1,0,1,999999982,1,"1.690,00",15/06/16
86,Inter American,1,0,1,999999982,1,"750,00",16/06/16
219,Intera�ÃO,1,0,1,999999982,1,"195,00",14/04/16
87,Intera�ÃO Itupeva,1,0,1,999999982,1,"0,00",24/11/16
175,Interviva,1,0,1,999999982,1,"0,00",13/04/16
231,Julio Mesquita,1,0,1,999999982,1,"0,00",15/09/16
29,Kids Learning Fun,2,0,1,999999982,1,"0,00",05/12/16
43,La Salle ÁGuas Claras,2,0,1,999999982,1,"266,06",14/09/15
52,Liceu Anglo,2,0,1,999999982,1,"3.599,92",20/11/15
140,Lua De Algod�O,1,0,1,999999982,1,"1.011,15",09/12/15
171,Luka(Col�Gio Objetivo Engenheiro Goulart (Col�Gio De Luca),1,0,1,999999982,1,"395,00",15/06/16
156,Magisther,1,0,1,999999982,1,"250,00",24/08/16
153,Marajoara,1,0,1,999999982,1,"2.500,00",09/06/16
74,Mary Ward,1,0,1,999999982,1,"395,00",16/06/16
181,Methodus,1,0,1,999999982,1,"550,00",26/06/16
100,Modelo,1,0,1,999999982,1,"1.295,00",29/01/16
83,Monforte Objetivo,1,0,1,999999982,1,"0,00",15/09/16
129,Monteiro Lobato,1,0,1,999999982,1,"680,00",19/05/16
182,Mz School,1,0,1,999999982,1,"995,00",04/05/16
106,M�Gico De Oz,1,0,1,999999982,1,"750,00",15/06/16
120,Nossa Escola Educa,1,0,1,999999982,1,"0,00",15/09/16
57,Nossa Escola I,2,0,1,999999982,1,"195,00",15/06/16
58,Nossa Escola Ii,2,0,1,999999982,1,"254,13",04/11/15
59,Nossa Escola Iii,2,0,1,999999982,1,"543,93",05/11/15
111,Nova Cachoeirinha,1,0,1,999999982,1,"93,62",06/11/15
132,Nova Gera�ÃO,1,0,1,999999982,1,"1.690,00",15/06/16
11,Novo Espa�O,2,0,1,999999982,1,"195,00",15/06/16
105,Novo Rumo,1,0,1,999999982,1,"505,62",28/04/15
127,Objetivo Monte Mor,1,0,1,999999982,1,"375,00",10/06/16
98,Objetivo Penha,1,0,1,999999982,1,"395,00",15/06/16
141,Ol�Via Palito,1,0,1,999999982,1,"680,00",20/05/16
72,Opet,1,0,1,999999982,1,"195,00",15/06/16
46,Oswald De Andrade,2,0,1,999999982,1,"1.475,00",25/01/16
193,Outer (Achieve Languages),1,0,1,999999982,1,"0,00",18/12/15
177,Pais Das Maravilhas (Santa Joana),1,0,1,999999982,1,"0,00",23/09/16
229,Palmares,1,0,1,999999982,1,"0,00",15/09/16
212,Park Idiomas,2,0,1,999999982,1,"0,00",02/12/16
32,Passionista Jo�O Xxiii,2,0,1,999999982,1,"0,00",24/11/16
91,Passionista N. S. Menina,1,0,1,999999982,1,"789,36",27/10/15
139,Paulista Vf,1,0,1,999999982,1,"750,00",30/04/16
170,Paulo Avelar,1,0,1,999999982,1,"395,00",15/06/16
202,Perdizes- Agnus Dei,1,0,1,999999982,1,"495,00",19/08/16
30,Peretz(Escola Judia),2,0,1,999999982,1,"400,00",17/10/16
235,Petit Enfant Editar - Promo�ãO,1,0,1,999999982,1,"0,00",08/10/15
122,Pilares,1,0,1,999999982,1,"250,00",16/12/16
75,Pingo De Gente,1,0,1,999999982,1,"875,00",06/06/16
119,Pinguim,1,0,1,999999982,1,"225,00",02/01/16
197,Plural,1,0,1,999999982,1,"395,00",15/06/16
137,Portinari Boituva,1,0,1,999999982,1,"1.250,00",04/10/16
164,Porto Alvorada,1,0,1,999999982,1,"195,00",15/06/16
126,Prisma,1,0,1,999999982,1,"0,00",22/07/16
149,Pro L�Nguas,1,0,1,999999982,1,"1.250,00",15/06/16
206,Projeto Criando,1,0,1,999999982,1,"652,00",24/06/16
97,Qi  - Freguesia,1,0,1,999999982,1,"0,00",08/11/16
187,Quacatu,1,0,1,999999982,1,"380,00",31/05/16
196,Quintal Ma�Gico (Sa�O Francisco),1,0,1,999999982,1,"0,00",15/09/16
158,Raio De Luz,1,0,1,999999982,1,"595,00",28/09/16
174,Ranieri,1,0,1,999999982,1,"195,00",15/06/16
205,Red Ballon,2,0,1,999999982,1,"0,00",15/09/16
144,Renascer Do Ensino,1,0,1,999999982,1,"0,00",03/11/16
82,Rubem Alves,1,0,1,999999982,1,"395,00",15/06/16
80,R�Caro,1,0,1,999999982,1,"875,00",22/02/16
222,Santa Barbara,1,0,1,999999982,1,"225,00",24/03/16
123,Santa Barbara,1,0,1,999999982,1,"1.250,00",15/06/16
154,Santa Maria De Nazar�,1,0,1,999999982,1,"0,00",24/11/16
6,Santa Marina,2,0,1,999999982,1,"750,00",15/06/16
112,Santa M�Nica,1,0,1,999999982,1,"2.053,80",22/04/15
116,Santana- Sipeb,1,0,1,999999982,1,"380,00",16/06/16
221,Sao Mateus,1,0,1,999999982,1,"750,00",17/06/16
31,See-Saw  Panamby,1,0,1,999999982,1,"750,00",18/06/16
195,Seice,2,0,1,999999982,1,"0,00",24/11/16
136,Shekinah,1,0,1,999999982,1,"1.290,10",20/10/15
135,Shekinah,1,0,1,999999982,1,"0,00",28/09/16
134,Shekinah,1,0,1,999999982,1,"395,00",15/06/16
204,Singularidades,1,0,1,999999982,1,"1,00",15/06/16
70,Sinodal,2,0,1,999999982,1,"1,00",15/06/16
85,Sociedade Educacional (Precoltec Objetivo),1,0,1,999999982,1,"1,00",26/10/16
101,Souza Le�O,1,0,1,999999982,1,"1.562,50",12/01/16
79,Stagium,1,0,1,999999982,1,"687,00",04/12/15
3,Stella Maris,1,0,1,999999982,1,"1.480,00",21/05/16
81,Superheroi,2,0,1,999999982,1,"960,00",29/02/16
117,S�O Jos�- Sipeb,1,0,1,999999982,1,"1.523,08",03/02/15
218,Tia C�Ssia,1,0,1,999999982,1,"195,00",03/11/16
216,Transformando Cidad�O,1,0,1,999999982,1,"0,00",24/11/16
118,Trilha Ber�Ario,1,0,1,999999982,1,"0,00",24/11/16
188,Vectra (Pollux),1,0,1,999999982,1,"495,00",23/06/16
210,Via Maker,2,0,1,999999982,1,"0,00",15/09/16
90,Vila Alpha,1,0,1,999999982,1,"0,00",22/11/16
20,Villa Dos Idiomas,2,0,1,999999982,1,"495,00",27/04/16
211,Vis�O Global,1,0,1,999999982,1,"1.577,10",02/07/15
89,Vitt�Rio Luiz,1,0,1,999999982,1,"0,00",24/11/16
107,Viva I,4,0,1,999999982,1,"195,00",20/04/16
108,Viva Ii,4,0,1,999999982,1,"1.348,00",13/06/16
109,Viva Iii,4,0,1,999999982,1,"857,00",13/06/16
228,Viverde,1,0,1,999999982,1,"245,00",13/06/16
125,X-Ebenezer,1,0,1,999999982,1,"0,00",01/12/16
77,Xingu,1,0,1,999999982,1,"750,00",15/06/16
191,Yazigi,1,0,1,999999982,1,"995,00",02/05/16
227,Yazigi Recreio,1,0,1,999999982,1,"195,00",23/09/16
,,,,,,,"195,00",30/11/16
,,,,,,,,
,,,,,,, ,
